,content
0,Very good
1,can't wait to watch it
2,Your ugly
3,Owen W0
4,thank you will take care of this matter
5,❤️❤️❤️
6,Amazing 😍
7,good so I can watch star wars
8,such a good entertainment platform
9,I.
10,Disney+ has thousands and thousands of movies 🎬
11,"after seeing the trailer She-Hulk attorney at law, I wanted to see it for myself and kept an open mind while watching it, I'm impressed it was awesome, definitely recommend anyone to check it out if you haven't seen it yet."
12,cool
13,Great musical!
14,Great. Well designed. Awesonr
15,Fantastic!!!
16,pistols best show ever on any site app or channel
17,Its great we love it 😊
18,definitely worth the money
19,I so love this Program. It helps me in my long stand by moments!! Motorcoach Operator signing off..
20,lohoojbjl( bill. o mmomoknlm.
21,Great it has a lot of great shows and movies but one problem is that it says I'm offline when I have wifi but its not a big problem but other than that it's great
22,we love the movie here in my house and she's done a great job . 👍👍👍👍❤️❤️❤️❤️
23,so good
24,I would watch Disney plus all day if I could
25,It's great
26,I know my age is 65 but I still love Disney plus to watch thank you very much
27,Family guy
28,love it
29,because you can whach your favret vidio
30,Excellent
31,I have to go
32,Love Disney + app. Has lots of great show & old show I grew up watching just love it!! 😍❤❤❤
33,Update: the app is working flawlessly and I'm very happy with it now. I have had no issue with the app until the last week when suddenly I can't get it to work on my tv. Support is just about worthless and I am ready to cancel my subscription. What's the use of paying for something that I can use.
34,I love my Disney + I love watching family video with the kids and when I want sometime alone I watch national geographic on Disney plus
35,I love Disney plus it good
36,AMAZING
37,Brilliant
38,عالی
39,its good because its good
40,"It is alot better than i originally thought it would be the price is great, this is the main streaming service i watch"
41,Me gusta mucho la verdad todo la ciencia ficción en un solo lugar es algo epico
42,"K6u x,66k"
43,my favorite
44,i can see all my favorite movies/series here defo a thumbs up
45,it 👌 👏 👍 😍
46,I use Disney+ on Tv
47,I love this App so much
48,Nice to have to watch my favourite shows
49,god I went on a road trip and this help so much
50,"Live this, so much better than Netflix"
51,"Brilliant app with lots of content, can be glitchy on occations."
52,amazing
53,i am such a sucker for this movie! when i am down i play some of the songs. makes the grumpy old man in me go away!
54,I like it so far! 😎
55,Even though I have questionable dealings with the company itself but if you have kids it's nice that it'll work on just about any browser.
56,Great app. good selection of movies and TV shows!
57,My kids love Disney+!
58,Amazing 🤩 and nice movies
59,Its really good and i like watching so Much things on it i love it
60,It is an amazing app you get to watch amazing movies with no money
61,Absolutely it! Marvel Home premieres are perfect for me and the family!
62,Been great.
63,Love this app
64,I love Disney+!
65,Good
66,Just Awesome!
